aircraft_icao_id,date,timestamp,altitude,latitude,longitude,speed,heading,Distance_From_Receiver
ae1acd3c96ca339c5a751a84414d159d851c1ed5467088ed55fd49959635bb4a,2023-10-26,23:16:29.707000,35000,38.61955,-90.12807,510,131,38.2401548216155
0558783c508dd8ceb8f9bde499f63ccfdf1f77eace6ad061f3f523e58f598acd,2023-10-21,18:44:06.713000,40000,38.84384,-90.11713,487,202,34.73596503273861
891029be8c1a1d09c626a8623b6672bd11cb79b558d6a4e806ee41c6c23a783a,2023-10-22,14:52:59.448000,37975,38.55801,-89.70074,415,206,74.93367964955753
5c075566142f83bda2d7dfb4e588df0301700c9c8f47858d8edc575eae4d02bb,2023-10-21,18:35:41.084000,37950,38.66107,-90.23029,432,214,28.24231112624414
077ac534a657b6d2fe1fff7572b3bd1fdc60b0941ecd84777c435641dc808079,2023-10-22,19:55:49.581000,36025,38.72662,-89.9468,435,210,49.471818225672735
eb78ff70892e9557699584fa37327be273f795bc5cbbb9d19d7213475887177d,2023-10-21,04:46:54.886000,38000,38.40024,-89.74976,501,209,79.06533322597166
1a379f4a8989bc7a280e4f44de3d578f8586fb8f13522284e08aa19e4b2d30bf,2023-10-25,02:44:16.352000,37975,38.55838,-89.69025,409,204,75.77586386699528
d766802b645070482b7e2ee8158e570a2b9018f215d585351eb3f3f7e5c4adcd,2023-10-27,12:39:23.256000,38000,38.644,-90.0154,375,210,45.97203198006056
54511c325b3a03a94320acb115e39862dbd744f3853e504df20c6b0c25c751c4,2023-10-22,21:57:37.569000,36000,38.63603,-89.56628,438,209,83.7724421070679
e394a57d14ee1d72660008074bbba2816a5b5de4632161a27324a039c2eb46a1,2023-10-28,04:48:42.568000,36975,38.153,-89.68899,583,57,100.63307053138094
d370e26cd0d8a8d40a167262f5d9d58a98ae543b976fd6281c0107c66bc22517,2023-10-27,04:31:11.553000,37000,38.20322,-89.45448,573,55,112.71304601126708
f5f68c103018b6fff4e4d70af7a08614e21daffb5600832c50a1cab755cad9c5,2023-10-22,17:35:02.125000,38000,38.25856,-89.44461,435,213,109.96859727516515
af9b7a8916e6d3443d80979845c6631489c0dcd7e4ace5dddf56e2144398136d,2023-10-27,21:33:18.026000,17525,38.7809,-89.9801,383,83,46.0910847255489
759e64d7e2fca71f6527c817b4266083f4bde20c481403864d85a9329389d92c,2023-10-21,21:52:03.409000,38000,38.59552,-89.78212,486,200,66.86916153964795
