aircraft_icao_id,date,timestamp,altitude,latitude,longitude,speed,heading,Distance_From_Receiver
6c7c86ede5f20a4c5cd97a56f79dd37f61a27f3f2697018141702feffb2beaab,2023-10-26,21:04:33.231000,35000,38.61955,-90.12807,510,131,19.271621974240635
56a7584bd0fd2151076be8048813304bf8e843dd0177e60e1d0af8b4f1cd8ec0,2023-10-21,21:02:42.143000,40000,38.84384,-90.11713,487,202,36.4953879777969
7920794164eb77440b937e73484836c25bd5c66b2be797da28856c21b584da7b,2023-10-22,02:21:15.327000,37975,38.55801,-89.70074,415,206,19.39331506288934
5d9bd15d50428b6445669dbd2b3fe637b0d126925d837d69baa227466190d815,2023-10-21,20:58:38.905000,37950,38.66107,-90.23029,432,214,29.25537986098285
9825b10d1446628b83d4a4c415c24dcfc5e92376c60188090afdec8263ac476b,2023-10-22,14:04:58.095000,36025,38.72662,-89.9468,435,210,19.473438683958896
c53ee354f36e6136926d166985bbff4c1aa9b1ce281c81258e1287b414ea58de,2023-10-21,21:17:15.890000,38000,38.40024,-89.74976,501,209,22.704825550703465
c53b5c9af0fcd682d01d652981c3f0596d274ff9d6697c98f7c77d553b1fc306,2023-10-25,00:00:01.036000,37975,38.55838,-89.69025,409,204,20.306276341678096
48eb5b412d7ab34ee472b5e3d7bb81f5e1ec011abc28e645f40e645389b660ca,2023-10-27,01:10:41.277000,38000,38.644,-90.0154,375,210,12.932681436584188
c96b7674c1a88873412ad8e164c0d8c306dca2b0e321347faf1079ec11e386e7,2023-10-22,03:58:52.348000,36000,38.63603,-89.56628,438,209,32.41989985247881
f4727b19dff38b20a44d17c246d29bb67b00e1860824687c52d97dba285d297a,2023-10-28,14:35:32.032000,36975,38.153,-89.68899,583,57,48.90125992792205
41bf7be5067ec4f11a9f886157e3394fc59bb1be9e3441fe48401e7e5d69daf5,2023-10-27,02:41:06.320000,37000,38.20322,-89.45448,573,55,56.394655521592455
ddf4417c089e6b97ddee7090827e70f627dbe7b7af493f5718d425aff15cdd24,2023-10-22,00:59:24.662000,38000,38.25856,-89.44461,435,213,53.01059062960266
0080859be5bcb58f7942552265074f81c66eb993c89402aeb64f3eff3bf95df7,2023-10-27,00:15:45.193000,17525,38.7809,-89.9801,383,83,25.873423905834716
e2a23a1e866014ac40218710ec32a401c33fefaba3c0f41ffb858a164eb22c28,2023-10-21,18:34:38.615000,38000,38.59552,-89.78212,486,200,13.203891274658321
6d1ae0d5d7eb1764910f04b4c65c7b1a2ecfccc6e00d5bd8a7b0a38199fed395,2023-10-25,02:28:12.482000,6350,38.54684,-89.97418,290,101,4.437718899199591
8016e00376f5420973ba693b93055553ac32aad8b7a2c94018085a3f864c8f73,2023-10-28,18:53:00.821000,36000,38.32213,-89.55679,403,211,40.94804878900317
9696ea1121089b9d6976f254d4e2fcf924e5493a984d5c81335712c4b37827e7,2023-10-21,20:06:24.878000,36000,38.41159,-89.72365,495,209,23.41617422063579
9696ea1121089b9d6976f254d4e2fcf924e5493a984d5c81335712c4b37827e7,2023-10-23,23:26:39.938000,36000,38.51852,-89.65274,449,209,23.863419355029308
81fdd3e70502bc6b3ac33080a93378ebca80966d65afea5f5f47da732b263217,2023-10-22,00:48:01.597000,34000,38.49032,-89.6723,469,209,22.931282008590003
5830658f6a245eff2dca35649b9734ec9175591966183250cd48d4d59828e9e6,2023-10-25,22:01:18.628000,40000,38.56458,-89.96274,382,245,3.6575508432104398
37d30d4eafe896368017d34c9d3ac7ef0b225f5b047fbb33671336f4ae1a6d5f,2023-10-26,01:38:55.745000,43000,38.84631,-89.87329,421,272,32.969256800545985
74d55249e95ac3033591c4503b9371630b10c524e48b30e9d865fbfe5875d367,2023-10-25,11:30:26.602000,40000,38.62999,-89.8933,411,290,9.019018105004116
a8f5c51d316814a611834078974f6adb4509981ac000508abd87ec1d8fbaa817,2023-10-27,02:10:02.088000,40000,38.28163,-90.00894,392,308,31.01450051795503
6628b43fdd14be784d7c7580a0276ac5fc043281d6335047f66e4263b9bf2caf,2023-10-24,01:04:24.401000,1025,38.58861,-89.87324,84,166,5.949383221332958
5a20778071057d7ae8e38aae1d8a3e3482ff7208e66db95d1b920da1339d86ff,2023-10-27,02:46:08.438000,37000,38.28293,-90.04514,572,77,31.7809359240378
8b91a45f1391a207458542d9f3d039a9a16e5b14984a555826543de07820441f,2023-10-21,13:25:47.129000,36000,38.85124,-89.98828,407,251,33.69646968173795
0a3922f404e7e3bf0369fb3340a839100f0b71788d8d5fb641977b3a0fa0c890,2023-10-27,21:36:45.245000,36000,38.26026,-89.83706,458,334,33.35216024050264
0a3922f404e7e3bf0369fb3340a839100f0b71788d8d5fb641977b3a0fa0c890,2023-10-26,14:04:48.708000,34950,38.5015,-90.13076,456,144,18.885216381987046
aba0c794b6f617fa0c904f92f1c97c9daa92b0ea4954f9c2bbae7f7208d41847,2023-10-21,04:06:03.704000,36975,38.26872,-89.94875,521,85,31.62248067761267
d78496ca0b4d165326cd4aed7ae0cc9b7ea983ae108ceb78ccabf804c27fb0bb,2023-10-26,00:00:11.855000,16700,38.6125,-90.2245,266,71,26.990056792660372
3c83dcdf9c36614b7d07be0e1e708a251304a8a271c68a7968b6a8ec1e565101,2023-10-23,22:11:11.418000,35000,38.55345,-90.17401,529,68,21.77093721825886
33f1a94e62543a8716020ca4aa5a0d22f4c90506a45afb075ac4d5b228218aed,2023-10-30,17:45:17.966000,34000,38.69518,-89.77126,337,207,20.669456603403063
e991f11886ac0834d77606e01dedfdf110e0442e6932873f2622b728dd809546,2023-10-23,22:22:41.030000,5700,38.39996,-89.85557,147,291,17.95960848859848
2880c7c5faffb9f952685bcb492625c6c464107184018db5c82ecdf2af6f7d85,2023-10-23,22:51:50.103000,7000,38.66528,-90.05469,192,69,16.944289638912245
fe3a8927d48250b57ce5d8e2f6b6fe754908798f4ab28ca8a0b3046a0680da70,2023-10-27,02:00:46.260000,34025,38.12251,-89.29258,398,309,72.90215628617665
6e344b96880af3dfa4407224ab0d2b9f0c8b8ea55d46d6d22dbee5a2988c07bc,2023-10-21,11:23:53.847000,35000,38.57547,-90.13342,550,101,18.417326108733146
eff7cdd50033e7070ae015d7670ba5bac9ae0e611f0d3f44d435e4a59d642a81,2023-10-29,02:30:52.653000,43000,38.31912,-89.63231,336,254,36.28970600108559
f76d26acc03c3a792415905bb031df2906803eb87e8413fc48ea4c3ddc0b0773,2023-10-27,02:23:10.165000,28000,38.37213,-89.45845,406,265,45.19397666508377
4cc06e8360acb9cead53b7f8679cde677a0d301904c00d91739999d448310b06,2023-10-22,16:45:53.840000,5525,38.56359,-89.9884,270,57,5.765174509230483
6bdb07403574ba36e42678de73dbf017d7a62c1ee39a0b31e3bd60ccf355476d,2023-10-21,00:50:55.830000,5525,38.47887,-89.99896,150,140,10.479878889186065
dbfc08113cff3a409cf6503fcc3d989d78e13465755c9d20de139c76c12cf660,2023-10-27,17:39:15.457000,22000,38.37776,-89.63476,369,241,31.778078702847967
daf5fca3e896ade009a8ba5645d241f09606f2545a37f8ad21f8d119e26700a8,2023-10-29,23:28:36.571000,38000,38.66014,-89.78687,341,282,16.873530867821785
df07f532a3e45e7b3ef9eff08ad4c946bcf0c3f90ffdc72b1267b4c8af1af84a,2023-10-28,21:21:11.702000,34975,38.77322,-89.97707,576,100,24.98531060787191
ccfe586171f09067015c3fd42e9bba6822f554a6e3ba6bf61a84187b261e9cc5,2023-10-21,17:38:30.704000,10925,38.55894,-90.04992,375,120,11.003459138092554
4157dd4e0ef7f91b46ac300c379fc1e4f72ebc4dd73618f3c92635a627cb353f,2023-10-26,22:55:21.024000,34950,38.36137,-90.00438,555,85,22.377285267174287
84fe225ba198082c3df385406e6ff486b87a3a8f11334355c7dd310c6774db4b,2023-10-23,18:06:42.604000,37000,38.313,-89.86494,531,60,27.10978979616176
dafb0f7556e867a28d10d751221c1a3425c9807fdcf8946d9cb3a20dee92a2d2,2023-10-21,16:24:42.882000,34000,38.56723,-89.74696,462,203,15.45124420911863
dc380d58afc2a0988da3e1341817337b1a36e7825381926155c920148c49821f,2023-10-27,22:17:07.187000,35175,38.21753,-90.01033,555,73,37.99747633132392
56c24016d6a8137bd7c2c960ae8218510251f2fd1cc198bf98d917e58fcd828e,2023-10-27,03:35:11.382000,35025,38.29005,-89.53559,560,59,44.65507320071114
c7dafe6a2f5be8a6494881011d5c4832766855ed1dda516ff5436c3d8b914527,2023-10-27,22:21:29.132000,35000,38.34535,-89.68525,525,6,31.003352454334536
c7dafe6a2f5be8a6494881011d5c4832766855ed1dda516ff5436c3d8b914527,2023-10-28,15:46:53.068000,35025,38.44931,-90.0451,569,92,15.593743056143389
58e77cd83bbccc4e87b07c9148ceca6d8177541f6f6771be20004daa3cfa9ead,2023-10-26,10:50:06.844000,39000,38.88015,-89.95111,549,88,36.51891882609465
b977f09778ef6cee83b349b5ce8a586c46159a738ad1592340becfb11ecb3a93,2023-10-21,03:11:37.674000,35000,38.24171,-89.66866,467,58,41.0793004065257
ffedc4cff25f68be0acf467d17c7fda04024812262a74ad5ef89723533816166,2023-10-28,11:34:32.734000,35000,38.70055,-89.95972,562,112,16.76589120643406
48d1c77645e516f40d5f58977a792b198ebab1e937e38fedc8dec8e31352746b,2023-10-27,13:28:30.763000,33000,38.2635,-90.06498,543,65,34.40639981932881
a9afc32dca061971537728630aad7c65d9861c8e29f6ee8d9c5f58842b52eb1e,2023-10-29,13:17:52.117000,34000,38.70581,-90.0918,334,203,22.455091936931392
b7de8e9aff24c87be6cfb54c4c7d225d47c13e34e63fe97e6b27c4b1839be385,2023-10-28,02:33:45.419000,37000,38.74791,-90.11219,551,112,27.21303840221424
b7de8e9aff24c87be6cfb54c4c7d225d47c13e34e63fe97e6b27c4b1839be385,2023-10-26,19:19:44.309000,36975,38.16576,-90.07613,527,88,45.003962632341526
b7de8e9aff24c87be6cfb54c4c7d225d47c13e34e63fe97e6b27c4b1839be385,2023-10-21,22:50:59.877000,35000,38.43255,-90.15125,568,93,23.875551075368804
5de0deda771edbc9239431aa5fd3165e9fed3088c0f3e5244c8a4f2c76061d8e,2023-10-25,18:44:06.713000,10600,38.74659,-89.99048,366,83,22.35632156385168
75f4cd26007676ed3566592566fae776922e61d61379995a053ea8e500363668,2023-10-24,04:15:47.903000,7100,38.69031,-90.06958,294,111,19.894379489547667
8fe75e0b5d6b2ea7f47442a811f888fb85b4ca7c8b4d39099a0d0a671f26da5f,2023-10-25,21:21:34.036000,34000,38.47854,-89.80499,375,208,13.194130701284639
dc6d9d476b8d96f99df31de0bdf82170f053a0880222fc7cfc33120593f2f425,2023-10-21,01:38:23.491000,31000,38.72484,-90.03762,568,112,21.576070833894356
e16efe00e82d8058a8c7293deeae618a4db325cb445b1c89d9fa3f94d1cfc0b9,2023-10-22,03:20:36.735000,26000,38.78654,-89.94626,436,227,26.106066022961574
